;Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
0;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;World;16418.43;4026160;Kg
1;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Italy;5073.47;1244120;Kg
2;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Sweden;3448.54;845656;Kg
3;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Netherlands;3443.39;844394;Kg
4;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Germany;2473.31;606509;Kg
5;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Portugal;1619.13;397047;Kg
6;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Finland;184.97;45358;Kg
7;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Greece;39.5;9686;Kg
8;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Poland;30.67;7520;Kg
9;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Slovak Republic;29.5;7234;Kg
10;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;United Kingdom;22.67;5560;Kg
11;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;France;19.38;4752;Kg
12;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Estonia;14.22;3486;Kg
13;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Romania;7.67;1881;Kg
14;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Croatia;6.27;1537;Kg
15;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Spain;4.45;1092;Kg
16;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Hungary;0.98;241;Kg
17;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Greenland;0.28;69;Kg
18;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Lithuania;0.03;7;Kg
19;Denmark;Export;20110;"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled";2018;Norway;0.01;3;Kg
